Mardrus_image,Mardrus_excerpt,Mathers_image,Mathers_excerpt
"T01, n0027(3) - Histoire du bossu [Récit du médecin juif]","...elle se découvrit, enleva son grand voile et m’apparut dans toute sa beauté. Je la trouvai si ravissante que je devins complètement éperdu d’amour.","V01, n0027(3) - The tale of the hunchback [The tale of Jewish doctor]","...she took off her veil and appeared in all her beauty, so that I fell into a complete madness of love for her."
"T01, n0028 - Histoire du bossu [Histoire du jeune homme boiteux]","Un jour, je vis entrer chez moi une vieille femme qui, au lieu de gémir sur mon état et de me plaindre, vint s’asseoir au chevet de mon lit et se mit à me dire des paroles fort douces pour me calmer…","V01, n0028 - The tale of the hunchback [The tale of the the lame man]","One day I saw an old woman come into the room who, instead of groaning and weeping over my condition as the others did, sat down and calmed my spirit with sprightly commonplace."
"T01, n0030 - Histoire du bossu [Histoires du barbier de Baghdad [Histoire de Bacbouk]]","...en levant la tête, il aperçut au-dessus de lui, à la lucarne supérieure, une femme comme la lune à son lever, et qui s’amusait à regarder les passants. C’était l’épouse du propriétaire de la maison. À sa vue, mon frère Bacbouk sentit son cœur s’éprendre passionnément, et il lui fut impossible de coudre ou de faire autre chose que de regarder la lucarne...","V01, n0030 - The tale of the hunchback [The tales of the barber of Baghd\=ad [The tale of Bakb\=uk]]","...he chanced to raise his eyes and saw a woman looking out at the passers- by from a skylight let into the terrace floor above him. She was the wife of the owner of the building, and her looking forth was like the rising of the young moon. Bakb\=uk s heart was fired with passion at the sight of her. He could sew no more, but spent all day with his head fixed, looking up at the skylight"
"T01, n0032(1) - Histoire du bossu [Histoires du barbier de Baghdad [Histoire d’El-Aschâr]]","...mon frère fut ainsi obligé de fuir au loin. Mais, pour que la destinée s’accomplît entièrement, à peine était-il hors des portes de la ville, qu’il fut assailli par des brigands...","V01, n0032(1) - The tale of the hunchback [The tales of the barber of Baghd\=ad [The tale of al-Ash\=ar]]",...he was obliged to leave the city on the instant. That his destiny might be fulfilled he had hardly got beyond the gates when he was set upon by brigands…
"T01, n0032(2) - Histoire du bossu [Histoires du barbier de Baghdad [Histoire de Schakâlik]]","...dès leur entrée, ils furent reçus au son des instruments d’harmonie et aux chants des esclaves blanches toutes plus belles que des lunes. Ces jeunes chanteuses, pendant que mon frère et le vieillard buvaient délicieusement les vins les plus exquis, ne cessèrent de chanter sur tous les tons toutes les mélodies les plus charmantes et avec des modulations et une valeur des sons et un accent admirables.","V01, n0032(2) - The tale of the hunchback [The tales of the barber of Baghd\=ad [The tale of Shakk\=ashik]]","On going in, they were received with lute-playing and singing by white slaves as fair as a flock of summer moons. They sang while my brother and the old man drank the oldest wines, and charmed them with the most pleasing melodies."
"T01, n0032(3) - Histoire de Douce-Amie","...Ali-Nour, ivre, s’avança, se jeta sur le divan, aux côtés de Douce-Amie. Et le couple s’enlaça.","V01, n0032(3) - The tale of Sweet-Friend","Al\={\i}-N\=ur threw himself on the couch by Sweet-Friend's side, drunken for very joy, and they gripped each other."
"T01, n0034 - Histoire de Douce-Amie","...ils mangèrent leur plein ; puis ils se lavèrent les mains, et de nouveau allèrent s’accouder à la fenêtre et regarder les arbres chargés de leurs beaux fruits.","V01, n0034 - The tale of Sweet-Friend","…they feasted abundantly. Then, after washing their hands, they returned to the window and stood looking out."
"T01, n0035 - Histoire de Douce-Amie","...le khalifat monta sur l’arbre, et ne cessa de grimper d’une branche à une autre branche qu’il n’eût atteint la branche qui était directement en face de l’une des fenêtres. Il s’assit alors sur la branche et regarda à travers la fenêtre.","V01, n0035 - The tale of Sweet-Friend","...the Khal\={\i}fah climbed, with Jafar s assistance, into a high nut tree and raised himself branch by branch until he could look through one of the windows."
"T01, n0039 - Histoire de Ghanem Ben-Ayoub [Histoire du nègre Bakhita]","Ghanem prit alors un caillou et se mit à frapper sur le cadenas qui fermait le couvercle de la caisse et finit par le casser. Et il leva le couvercle, et il trouva dans la caisse une adolescente, non point morte, mais endormie, car sa respiration montait et descendait d’une façon douce et réglée, et elle devait être seulement sous l’effet du banj.","V01, n0039 - The tale of Gh\=anim Ibn Ayy\=ub [The tale of the negro Bakhait]","...picking up a stone, he broke the locks and threw back the lid. Inside was a sleeping girl, drugged seemingly with banj, whose bosom rose and fell in regular breathing."
"T01, n0041 - Histoire de Ghanem Ben-Ayoub","...une fois sorti de Baghdad, il se mit à marcher et à pleurer jusqu’à ce que son cœur se fût émietté ; et il continua de la sorte, sans manger et sans boire, jusqu’à la fin de la journée ; et la faim et la douleur l’avaient affaibli.","V01, n0041 - The tale of Gh\=anim Ibn Ayy\=ub","He walked away from Baghd\=ad, weeping as if his heart were broken, and journeyed all day without eating or drinking…"
"T02, n0046 - Histoire du roi Omar Al-Némân et de ses deux fils merveilleux","Le cheval se mit ainsi à marcher jusqu’à minuit, et sou- dain, au milieu d’une solitude boisée, il s’arrêta et frappa violemment du sabot contre terre. Et Scharkân s’éveilla et se vit au milieu des arbres de la forêt, qui était en ce moment éclai- rée par la clarté de la lune. Et Scharkân fut extrêmement ému de se trouver au milieu de cet endroit solitaire...","V01, n0046 - The tale of king Umar al-Num\=an and his two remarkable sons","He was wakened at midnight by his horse pawing the ground violently and halting in the middle of a wooded solitude, brightly lighted by the moon. Shark\=an was startled to find himself in so lonely a place…"
"T02, n0050 - Histoire du roi Omar Al-Némân et de ses deux fils merveilleux","...ils finirent par arriver à un défilé fort étroit situé entre deux très hautes montagnes. Et à peine y étaient-ils qu’ils virent à l’autre bout du défilé s’élever une poussière fort dense, qui se rapprocha rapidement et se dissipa pour laisser paraître cent cavaliers, disparaissant sous les cottes de mailles et les visières d’acier.","V01, n0050 - The tale of king Umar al-Num\=an and his two remarkable sons","...they came to a narrow defile between two rocky hills, from the other end of which they saw a thick cloud of dust advancing. It came on rapidly and cleared as it approached, showing a hundred knights clad in coats of mail and vizors of steel…"
"T02, n0053 - Histoire du roi Omar Al-Némân et de ses deux fils merveilleux","...il s’attrista davantage de jour en jour et tellement, que le roi lui dit : « Qu’as-tu donc, ô mon fils, à jaunir de teint et à maigrir de corps ? »","V01, n0053 - The tale of king Umar al-Num\=an and his two remarkable sons","Day by day he became sadder, until at last Umar al-Num\=an noticed it and asked the reason for his sorrow."
"T02, n0055 - Histoire du roi Omar Al-Némân et de ses deux fils merveilleux","...le Bédouin, qui adorait d’instinct la poésie, fut touché de pitié pour la belle malheureuse et il s’approcha d’elle et lui essuya les larmes et lui donna à manger une galette d’orge...","V01, n0055 - The tale of king Umar al-Num\=an and his two remarkable sons","...the Badaw\={\i}, who instinctively loved the sound of words, pitied the fair unfortunate, wiped her tears, and gave her a barley cake to eat..."
"T02, n0067 - Histoire du roi Omar Al-Némân et de ses deux fils merveilleux",...Scharkân fit son entrée dans la chambre nuptiale. Et il était loin de soupçonner que cette merveilleuse adolescente fût sa soeur Nôzhatou…,"V01, n0067 - The tale of king Umar al-Num\=an and his two remarkable sons","When Shark\=n came to the couch, he was as ignorant that this beautiful girl was his sister..."
"T02, n0078 - Histoire du roi Omar Al-Némân et de ses deux fils merveilleux [Histoire de la mort du roi Omar Al-Némân]","...la vénérable vieille s’avança entre les mains du roi et baisa la terre avec respect et dit : « Ô roi, voici que je t’apporte cinq joyaux que ne possède aucun roi de la terre. Et je te prie d’en examiner la beauté et de la mettre à l’épreuve ; car la beauté n’apparaît qu’à celui qui la cherche avec amour ! »","V01, n0078 - The tale of king Umar al-Num\=an and his two remarkable sons [The tale of the death of king Umar al-Num\=an]","The holy old lady kissed the earth between the King's hands, saying: 'I bring five jewels to you such as the court of no other king upon the earth has seen. I pray you to look upon their beauty and put them to the proof, for beauty is never apparent save to the search of love.'"
"T02, n0094 - Histoire du roi Omar Al-Némân et de ses deux fils merveilleux","...cette contrée, où s’ébattaient les gazelles et chantaient les oiseaux, apparaissait tel un paradis avec ses grands arbres ivres de la rosée, et ses fleurs qui souriaient à la brise...","V01, n0094 - The tale of king Umar al-Num\=an and his two remarkable sons","Birds sang there, gazelles leapt there, so that the place seemed some new Paradise, its great trees drunken with the dew upon their branches, and its flowers smiling to a vagabond south wind."
"T02, n0108 - Histoire du roi Omar Al-Némân et de ses deux fils merveilleux","...le palanquin apparaissait, dans la lueur du matin, tel un palais d’entre les palais des génies, et la jeune fille, couverte de ses voiles, telle une houria d’entre les plus belles hourias du paradis.","V01, n0108 - The tale of king Umar al-Num\=an and his two remarkable sons","The convoy set out in the light of morning, the palanquin shining like a palace of fairies, and the veiled girl within it seeming like a h\=ur\={\i} sent from Paradise."
"T02, n0116 - Histoire d’Aziz et Aziza [Histoire du bel Aziz]","...la première chose que je fis fut d’enlever le foulard de soie qui recouvrait le grand plateau d’argent. Et les choses délicieuses qui s’y trouvaient, je les vois encore devant mes yeux.","V01, n0116 - The tale of Az\={\i}z and Az\={\i}zah [The tale of Az\={\i}z and Az\={\i}zah]","I lifted the silk from the silver tray, and those delicacies which I found beneath I see even yet in my more happy dreams."
"T02, n0129 - Histoire d’Aziz et Aziza [Histoire du bel Aziz]","...je vis entrer par la porte Sett-Donia, et je crus que la lune elle-même descendait dans le jardin. Sa beauté était telle que je restai cloué sur place, hébété, sans mouvement, mort.","V01, n0129 - The tale of Az\={\i}z and Az\={\i}zah [The tale of Az\={\i}z and Az\={\i}zah]",...I saw the lady Dunya come through the gate as if the moon herself were entering the garden. Such was her beauty that I remained where I was as if I had been dead.
"T02, n0138 - Histoire d’Aziz et Aziza [Aventures de Kanmakân]","Les exercices et la chasse, l’équitation et les joutes à la lance et au javelot, le tir à l’arc et les courses de chevaux avaient assoupli son corps et aguerri son âme. Et il était devenu le plus beau cavalier des pays musulmans...","V01, n0138 - The tale of Az\={\i}z and Az\={\i}zah [The adventures of young K\=ana ma K\=ana]","Hunting and riding, tilting with the lance and javelin, shooting with the bow, and racing on horseback had suppled his body and fortified his spirit, until he had become the most accomplished cavalier to be found among the Faithful."
"T02, n0141 - Histoire d’Aziz et Aziza [Aventures de Kanmakân]","...ils arrivèrent à une éminence au pied de laquelle s’étendait un pâtis couvert de chamelles et de chameaux, de moutons, de vaches et de chevaux. Et, plus loin, sous une tente, des esclaves armés étaient accroupis tranquillement.","V01, n0141 - The tale of Az\={\i}z and Az\={\i}zah [The adventures of young K\=ana ma K\=ana]","...they saw, at the bottom of the hill on which they sat, a pasture covered with camels and sheep, cattle and horses. A band of armed slaves sat under an awning and guarded the animals."
"T02, n0146 - Histoire charmante des animaux et des oiseaux [Conte de l’oie]","...c’était une île couverte de beaux arbres fruitiers et nourrie par une multitude de ruisseaux. Et le paon et son épouse furent extrêmement charmés de leur promenade au milieu de cette fraîcheur, et s’arrêtèrent quelque temps à manger de tous les fruits et à boire de cette eau si douce et si légère.","V01, n0146 - The delightful tale of the beasts and birds [The tale of the goose]","They found the place covered with ripe fruit trees and nourished by a multitude of streams, so that they were charmed to walk about in the cool shadow and stop from time to time to eat the fruit and drink the clear water."
"T02, n0147 - Histoire charmante des animaux et des oiseaux [Le berger et l’adolescente]","...la jeune fille se leva et, légère, se dévêtit entièrement et se tint droite et nue dans les flots de ses cheveux. Et l’appel de son silence, dans cette solitude de grotte, était plus terrible que tous les cris du délire.","V01, n0147 - The delightful tale of the beasts and birds [The tale of the shepherd and the girl]","The child rose and lightly undressed herself until she stood before him naked and white, bathed in the dark sea of her hair. Her silent invitation was more dangerous in that lonely cave than all the desirous cries which she had uttered before."
"T02, n0152 - Histoire d'Ali Ben-Bekar et de la belle Schamsennahar","...la jeune femme se mit à choisir négligemment quelques étoffes à fond d’or, quelques orfèvreries et quelques flacons d’essence de roses. Puis, comme elle n’avait pas à se gêner chez Abalhassan, elle releva un instant son petit voile de visage et fit ainsi briller, sans artifices, sa beauté.","V01, n0152 - The tale of Al\={\i} ibn Bakr and the fair Shams al-Nah\=ar","She chose carelessly certain fabrics on a gold background, a few jewels, and some rare bottles of rose essence, lifting her veil the while to prove that she had no fear of the young merchant."
"T02, n0155 - Histoire d'Ali Ben-Bekar et de la belle Schamsennahar","...sans prononcer une parole, sur un simple signe de la confidente, il prit le prince Ali dans ses bras et le déposa dans l’embarcation, où ne tarda pas à entrer Abalhassan.","V01, n0155 - The tale of Al\={\i} ibn Bakr and the fair Shams al-Nah\=ar",Without a word the oarsman took the prince in his arms and laid him down in the vessel. Ab\=u followed...
"T02, n0158 - Histoire d'Ali Ben-Bekar et de la belle Schamsennahar","...Abalhassan avait, parmi les amis qui le venaient voir le plus souvent, un jeune joaillier charmant, nommé Amin, et dont il avait pu souvent apprécier la discrétion. Et justement ce jeune joaillier vint en visite au moment même où, accoudé sur les coussins, Abalhassan était plongé dans la perplexité.","V01, n0158 - The tale of Al\={\i} ibn Bakr and the fair Shams al-Nah\=ar","...the merchant numbered among his most intimate friends a certain young and discreet jeweller named Am\={\i}n, and this youth came to pay him a visit as he lay among his cushions trying to make up his mind what he should do."
"T02, n0169 - Histoire d'Ali Ben-Bekar et de la belle Schamsennahar","...depuis lors ni moi ni la jeune fille, qui devint mon épouse, nous ne cessâmes d’aller visiter les deux tombeaux pour pleurer sur les amants dont nous avions été les amis.","V01, n0169 - The tale of Al\={\i} ibn Bakr and the fair Shams al-Nah\=ar","Ever since then (concludes the jeweller) I and the confidant, who has become my wife, have not ceased at stated intervals to visit the two tombs and weep over the disastrous love of our young friends."
"T03, n0180 - Histoire de la princesse Boudour","...l’éfrit Dahnasch, avec des précautions infinies, déposa doucement la princesse sur le lit, et lui enleva sa chemise.","V02, n0180 - The tale of Kamar al-Zaman and princess Budur","...Dahnash, with infinite precaution, laid the princess on the bed and took off her chemise."
"T03, n0188 - Histoire de la princesse Boudour","Il assembla donc dans son palais tous les savants de son royaume, les médecins, les astrologues, les magiciens, les hommes versés dans les livres anciens, et les droguistes...","V02, n0188 - The tale of Kamar al-Zaman and princess Budur","He called together all the learned men of his kingdom, the doctors, astrologers, chemists, and those versed in the books of old..."
"T03, n0222 - Histoire de la princesse Boudour","Il acheta quelques provisions, ferma la porte du jardin, prit la clef avec lui, et courut en hâte au port, alors que le soleil était déjà bien haut ; mais ce fut pour voir le navire, toutes voiles dehors, emporté par le vent favorable vers la haute mer.","V02, n0222 - The tale of Kamar al-Zaman and princess Budur","He collected provision for the journey, locked the gate of the garden, and ran in haste to the harbour; the sun was already high and he saw the ship that should have carried him making, with all sails set before a favourable wind, for the open sea."
"T03, n0238 - Histoire de Bel-Heureux et de Belle-Heureuse","...que de fois Bel-Heureux et son esclave Belle-Heureuse ne venaient-ils pas, aux heures chaudes, s’asseoir dans leur jardin, sur le marbre nu, autour du bassin, où la fraîcheur de l’eau et de la pierre les pénétrait de délices.","V02, n0238 - The tale of Happy-Handsome and Happy-Fair","Happy-Handsome and Happy-Fair spent the warm hours of each day sitting in their garden, on the naked marble of the fish-pond, refreshed by the cool water and the cool stone."
"T03, n0246 - Histoire de Bel-Heureux et de Belle-Heureuse","...il vit entrer, par l’une des portes latérales, une jeune femme à l’aspect royal, habillée seulement de ses vêtements d’intérieur, sans voile sur le visage ou foulard sur les cheveux. Et elle était suivie d’une esclave mignonne, les pieds nus, qui portait sur la tête des fleurs et tenait à la main un luth en bois de sycomore.","V02, n0246 - The tale of Happy-Handsome and Happy-Fair","...he saw a young woman with a royal look enter by one of the side doors. She was dressed only in house garments, so that her face and hair might be seen; and was followed by a delicious little slave with naked feet, who was crowned with flowers and carried a lute of sycamore-wood in her hand."
"T03, n0259 - Histoire de Grain-de-beauté","...il mangea un morceau ; puis, les esclaves partis se coucher, il sortit de la tente et s’éloigna un peu dans la vallée et alla s’asseoir sous un arbre au clair de lune.","V02, n0259 - The tale of Ala al-Din Abu Shamat","Abu Shamat ate a light meal and then, when the slaves had lain down to sleep, left his tent and, walking up the valley for a little way, sat down under a tree in the moonlight."
"T03, n0269 - Histoire de Grain-de-beauté","...le lit se souleva de lui-même en l’air, sans secousses, monta jusqu’à la coupole, sortit par la grande fenêtre, et, plus rapide que le plus rapide d’entre les oiseaux, il fendit l’espace avec une régularité merveilleuse...","V02, n0269 - The tale of Ala al-Din Abu Shamat","...the bed rose in the air, without any jolting, and, going out by the great window in the dome, began to sail through the air more quickly than a bird, but with an easy and riding motion."
"T03, n0272 - Histoire de la docte Sympathie","Elle se para de ses belles robes et se présenta à son maître avec, sur les lèvres, un sourire de bon augure, en lui disant : « Allah va faire cesser tes tribulations par mon entremise.","V02, n0271 - The tale of Sympathy the learned",She put on the rest of her jewels and those robes which remained most fit to be seen; then she went to her master and said with an encouraging smile: 'Allah will put an end to your misfortunes by my help.
"T03, n0287 - Aventures du poète Abou-Nowas","...s’avançant vers le lit, il en releva les rideaux. Et il resta émerveillé de la beauté endormie qui s’offrait à son regard. C’était une jeune esclave, la lune dans son plein, et dont la chevelure éployée était le seul voile.","V02, n0287 - An adventure of the poet Abu Nuwas","...he lifted the curtains of the bed and stood stock-still with amazement at the sleeping beauty of a slave who lay there, as fair as the full moon, covered for sole garment with her fallen hair."
"T03, n0292 - Sindbad le marin [La première histoire]","...nous vîmes apparaître à l’avant du navire le capitaine qui, d’une voix terrible et avec des gestes effrayants, nous cria : « Ô passagers, sauvez-vous ! Hâtez-vous ! Remontez vite à bord ! Lâchez tout ! Abandonnez vos effets à terre et sauvez vos âmes ! Fuyez l’abîme ! Courez vite ! Car l’île n’est point une île ! C’est une baleine gigantesque !","V02, n0292 - The tale of Sindbad the sailor [The first voyage]",...we saw the captain appear in the bows of his ship and heard him cry in an agonized voice with wild gesturings: 'Save yourselves! Come aboard for your lives! That is no island but a gigantic whale!
"T03, n0296 - Sindbad le marin [La seconde histoire]","Au milieu des roches de diamant, je vis circuler les gardiens qui étaient des serpents noirs en quantité innombrable, plus gros et plus grands que des palmiers, et qui pouvaient certainement en- gloutir, chacun d’eux, un buffle ou un éléphant.","V02, n0296 - The tale of Sindbad the sailor [The second voyage]","The guardians of the diamond rocks were moving about their treasure, innumerable black snakes, thicker and longer than palm-trees, each one of which could have swallowed a large elephant."
"T03, n0316 - Histoire de la belle Zoumouroud","...il vit une grande foule rassemblée. Il fut tenté de s’en approcher, pour juger de ce qui se passait, et il vit, au milieu du cercle formé par les marchands, par les courtiers et les acheteur une jeune esclave blanche d’une délicieuse tournure...","V02, n0316 - The tale of Zumurrud the beautiful","...he saw a crowd collected in a circle. He went towards these people to see what was happening and saw, in the centre of a group of brokers, merchants and purchasers, a young white slave of elegant and delightful appearance."
"T03, n0331 - Histoire de la belle Zoumouroud","...sitôt tout cela prêt, Zoumourroud et Alischar montèrent dans un palanquin de velours porté par un dromadaire, et, suivis des deux petits eunuques seulement, ils retournèrent au Khorassân...","V02, n0331 - The tale of Zumurrud the beautiful","When all was in readiness, Zumurrud and Ali Shar got up into a velvet and brocaded palanquin, carried by a dromedary, and, accompanied only by the two little eunuchs, journeyed to the land of Khurasan..."
"T03, n0332 - Histoire des six adolescentes aux couleurs différentes","...un jour, Ali El-Yamani, heureux de la quiétude goûtée dans la délectable Baghdad, et se sentant dans des dispositions d’esprit meilleures encore que d’habitude, invita ses six esclaves à la fois à venir dans la salle de réunion lui tenir compagnie et passer le temps à boire, à s’entretenir et à chanter avec lui.","V02, n0332 - The tale of the six different coloured girls","...one day, when Ali al-Yaman felt in better spirits than usual, owing to the delectable peace which he experienced in our city, he invited his six slaves to come together to keep him company, to drink, to talk, and to sing with him."
"T03, n0343 - Histoire de la ville d'airain","...soudain la lueur à l’Orient se fit plus vive, et sur le sommet de la montagne la lune magnifique s’élança et, d’un clignement, illumina le ciel et la terre. Et à leurs pieds un spectacle se déroula qui les fit s’arrêter de respirer. Ils dominaient une ville de songe.","V02, n0343 - The extraordinary tale of the city of brass",...suddenly the light in the east grew greater and the splendid moon swam from behind the top of a mountain and lighted earth and sky at once with the sparkling of her eyes. Then at their feet unrolled a sight which made them hold their breath. They were looking down upon a city of dream.
"T04, n0348 - Histoire d’Ibn Al-Mansour avec les deux adolescentes","Elle m’offrit la tasse qui était remplie d’eau fraîche parfumée agréablement au musc pur. Moi je la pris et me mis à boire fort lentement et à longs traits en jetant à la dérobée des regards admiratifs à l’adolescente principale, et des regards notoirement reconnaissants à toutes les deux.","V02, n0348 - The tale of Ibn al-Mansur and the two girls","...she offered me the cup, which was full of clear water, agreeably perfumed with fresh musk, and, taking it, I began to drink very slowly, at the same time sending sidelong glances of admiration at the mistress and open grateful looks at both."
"T04, n0353 - Histoire de Wardân le boucher avec la fille du vizir","Tous les jours il voyait venir à sa boutique une adolescente splendide de corps et de visage, mais les yeux bien fatigués et aussi les traits bien fatigués et le teint fort pâle. Elle arrivait toujours suivie d’un portefaix chargé de sa hotte...","V02, n0353 - The Tale of Wardan the butcher and the wazir’s daughter","Every day a girl of magnificent face and form, but with very tired eyes and pale complexion, would come to his shop, followed by a porter charged with a basket..."
"T04, n0357 - Histoire de la reine Yamlika","...apparut de derrière la colline un carré formé par quatre femmes serpentines qui portaient, sur leurs bras élevés au-dessus de leur tête, un grand bassin d’or où se trouvait, souriante et pleine de grâce, la reine.","V02, n0357 - The tale of Yamlika","...four of these snake-women came from behind the hill, gliding in a square and carrying, upon arms upraised above their heads, a vast basin of gold, in which was seated their beautiful smiling Queen."
